countrynum,statenum,Route,RPID,year,Aou,total
840,46,46,101,1970,7360,5
840,46,48,101,1970,7360,3
840,46,49,101,1970,7360,4
840,46,50,101,1970,7360,1
840,46,8,101,1971,7360,1
840,46,10,101,1971,7360,6
840,46,11,101,1971,7360,4
840,46,12,101,1971,7360,1
840,46,13,101,1971,7360,1
840,46,14,101,1971,7360,1
840,46,17,101,1971,7360,3
840,46,18,101,1971,7360,7
840,46,19,101,1971,7360,1
840,46,20,101,1971,7360,10
840,46,22,101,1971,7360,10
840,46,23,101,1971,7360,1
840,46,24,101,1971,7360,16
840,46,25,101,1971,7360,10
840,46,26,101,1971,7360,2
840,46,27,101,1971,7360,10
840,46,28,101,1971,7360,5
840,46,29,101,1971,7360,15
840,46,30,101,1971,7360,3
840,46,31,101,1971,7360,13
840,46,32,101,1971,7360,6
840,46,33,101,1971,7360,4
840,46,34,101,1971,7360,3
840,46,35,101,1971,7360,7
840,46,36,101,1971,7360,5
840,46,37,101,1971,7360,3
840,46,38,101,1971,7360,5
840,46,39,101,1971,7360,5
840,46,40,101,1971,7360,1
840,46,41,101,1971,7360,3
840,46,42,101,1971,7360,4
840,46,43,101,1971,7360,7
840,46,44,101,1971,7360,9
840,46,45,101,1971,7360,7
840,46,46,101,1971,7360,4
840,46,47,101,1971,7360,4
840,46,48,101,1971,7360,3
840,46,49,101,1971,7360,3
840,46,50,101,1971,7360,3
840,46,7,101,1972,7360,1
840,46,10,101,1972,7360,8
840,46,11,101,1972,7360,5
840,46,12,101,1972,7360,9
840,46,14,101,1972,7360,3
840,46,16,101,1972,7360,1
840,46,17,101,1972,7360,4
840,46,18,101,1972,7360,3
840,46,19,101,1972,7360,7
840,46,20,101,1972,7360,6
840,46,22,101,1972,7360,5
840,46,23,101,1972,7360,8
840,46,24,101,1972,7360,5
840,46,25,101,1972,7360,7
840,46,26,101,1972,7360,2
840,46,27,101,1972,7360,15
840,46,28,101,1972,7360,6
840,46,29,101,1972,7360,11
840,46,30,101,1972,7360,1
840,46,31,101,1972,7360,22
840,46,32,101,1972,7360,9
840,46,33,101,1972,7360,2
840,46,35,101,1972,7360,7
840,46,36,101,1972,7360,1
840,46,37,101,1972,7360,2
840,46,38,101,1972,7360,7
840,46,39,101,1972,7360,14
840,46,40,101,1972,7360,4
840,46,41,101,1972,7360,6
840,46,42,101,1972,7360,5
840,46,43,101,1972,7360,7
840,46,44,101,1972,7360,13
840,46,45,101,1972,7360,8
840,46,46,101,1972,7360,2
840,46,47,101,1972,7360,12
840,46,48,101,1972,7360,9
840,46,6,101,1973,7360,2
840,46,8,101,1973,7360,4
840,46,10,101,1973,7360,9
840,46,11,101,1973,7360,6
840,46,12,101,1973,7360,5
840,46,13,101,1973,7360,5
840,46,14,101,1973,7360,1
840,46,15,101,1973,7360,5
840,46,17,101,1973,7360,3
840,46,18,101,1973,7360,4
840,46,19,101,1973,7360,3
840,46,20,101,1973,7360,12
840,46,21,101,1973,7360,3
840,46,22,101,1973,7360,11
840,46,23,101,1973,7360,7
840,46,24,101,1973,7360,8
840,46,25,101,1973,7360,8
840,46,26,101,1973,7360,5
840,46,27,101,1973,7360,11
840,46,28,101,1973,7360,15
840,46,29,101,1973,7360,21
840,46,30,101,1973,7360,3
840,46,31,101,1973,7360,31
840,46,32,101,1973,7360,8
840,46,33,101,1973,7360,10
840,46,34,101,1973,7360,1
840,46,35,101,1973,7360,10
840,46,38,101,1973,7360,6
840,46,39,101,1973,7360,7
840,46,40,101,1973,7360,5
840,46,41,101,1973,7360,8
840,46,42,101,1973,7360,26
840,46,43,101,1973,7360,9
840,46,44,101,1973,7360,12
840,46,45,101,1973,7360,8
840,46,47,101,1973,7360,2
840,46,48,101,1973,7360,3
840,46,49,101,1973,7360,5
840,46,50,101,1973,7360,8
840,46,6,101,1974,7360,3
840,46,8,101,1974,7360,1
840,46,10,101,1974,7360,11
840,46,11,101,1974,7360,2
840,46,12,101,1974,7360,5
840,46,14,101,1974,7360,6
840,46,15,101,1974,7360,2
840,46,16,101,1974,7360,3
840,46,17,101,1974,7360,1
840,46,18,101,1974,7360,11
840,46,19,101,1974,7360,1
840,46,20,101,1974,7360,6
840,46,21,101,1974,7360,4
840,46,22,101,1974,7360,12
840,46,23,101,1974,7360,4
840,46,24,101,1974,7360,13
840,46,25,101,1974,7360,7
840,46,26,101,1974,7360,1
840,46,27,101,1974,7360,11
840,46,28,101,1974,7360,7
840,46,29,101,1974,7360,16
840,46,30,101,1974,7360,19
840,46,31,101,1974,7360,27
840,46,32,101,1974,7360,11
840,46,33,101,1974,7360,7
840,46,35,101,1974,7360,13
840,46,36,101,1974,7360,3
840,46,37,101,1974,7360,6
840,46,38,101,1974,7360,11
840,46,39,101,1974,7360,2
840,46,40,101,1974,7360,1
840,46,41,101,1974,7360,6
840,46,42,101,1974,7360,8
840,46,43,101,1974,7360,15
840,46,44,101,1974,7360,15
840,46,45,101,1974,7360,2
840,46,46,101,1974,7360,5
840,46,47,101,1974,7360,3
840,46,48,101,1974,7360,2
840,46,49,101,1974,7360,11
840,46,50,101,1974,7360,4
840,46,6,101,1975,7360,3
840,46,7,101,1975,7360,8
840,46,8,101,1975,7360,4
840,46,9,101,1975,7360,1
840,46,10,101,1975,7360,14
840,46,11,101,1975,7360,5
840,46,12,101,1975,7360,6
840,46,13,101,1975,7360,1
840,46,14,101,1975,7360,5
840,46,16,101,1975,7360,2
840,46,18,101,1975,7360,3
840,46,19,101,1975,7360,9
840,46,20,101,1975,7360,2
840,46,21,101,1975,7360,11
840,46,22,101,1975,7360,5
840,46,23,101,1975,7360,7
840,46,24,101,1975,7360,10
840,46,25,101,1975,7360,6
840,46,26,101,1975,7360,13
840,46,27,101,1975,7360,6
840,46,28,101,1975,7360,2
840,46,29,101,1975,7360,7
840,46,30,101,1975,7360,6
840,46,31,101,1975,7360,13
840,46,32,101,1975,7360,11
840,46,33,101,1975,7360,6
840,46,40,101,1975,7360,4
840,46,41,101,1975,7360,4
840,46,42,101,1975,7360,9
840,46,43,101,1975,7360,12
840,46,45,101,1975,7360,7
840,46,46,101,1975,7360,3
840,46,47,101,1975,7360,5
840,46,48,101,1975,7360,8
840,46,49,101,1975,7360,3
840,46,50,101,1975,7360,2
840,46,6,101,1976,7360,2
840,46,7,101,1976,7360,8
840,46,8,101,1976,7360,6
840,46,9,101,1976,7360,4
840,46,10,101,1976,7360,15
840,46,11,101,1976,7360,6
840,46,12,101,1976,7360,6
840,46,13,101,1976,7360,3
840,46,14,101,1976,7360,3
840,46,16,101,1976,7360,1
840,46,17,101,1976,7360,1
840,46,18,101,1976,7360,4
840,46,19,101,1976,7360,3
840,46,21,101,1976,7360,2
840,46,22,101,1976,7360,5
840,46,23,101,1976,7360,11
840,46,24,101,1976,7360,6
840,46,25,101,1976,7360,4
840,46,26,101,1976,7360,6
840,46,27,101,1976,7360,27
840,46,28,101,1976,7360,4
840,46,29,101,1976,7360,8
840,46,30,101,1976,7360,12
840,46,31,101,1976,7360,26
840,46,32,101,1976,7360,13
840,46,33,101,1976,7360,9
840,46,35,101,1976,7360,5
840,46,36,101,1976,7360,4
840,46,37,101,1976,7360,3
840,46,38,101,1976,7360,3
840,46,39,101,1976,7360,4
840,46,40,101,1976,7360,10
840,46,41,101,1976,7360,7
840,46,42,101,1976,7360,15
840,46,43,101,1976,7360,14
840,46,44,101,1976,7360,6
840,46,45,101,1976,7360,5
840,46,46,101,1976,7360,8
840,46,47,101,1976,7360,7
840,46,48,101,1976,7360,7
840,46,49,101,1976,7360,14
840,46,50,101,1976,7360,9
840,46,6,101,1977,7360,2
840,46,7,101,1977,7360,3
840,46,8,101,1977,7360,8
840,46,9,101,1977,7360,3
840,46,10,101,1977,7360,18
840,46,11,101,1977,7360,5
840,46,12,101,1977,7360,3
840,46,13,101,1977,7360,1
840,46,14,101,1977,7360,3
840,46,15,101,1977,7360,1
840,46,16,101,1977,7360,2
840,46,17,101,1977,7360,2
840,46,18,101,1977,7360,8
840,46,20,101,1977,7360,3
840,46,21,101,1977,7360,6
840,46,22,101,1977,7360,5
840,46,23,101,1977,7360,12
840,46,24,101,1977,7360,22
840,46,25,101,1977,7360,2
840,46,26,101,1977,7360,8
840,46,27,101,1977,7360,10
840,46,28,101,1977,7360,6
840,46,29,101,1977,7360,7
840,46,30,101,1977,7360,10
840,46,31,101,1977,7360,17
840,46,32,101,1977,7360,11
840,46,33,101,1977,7360,4
840,46,34,101,1977,7360,2
840,46,36,101,1977,7360,1
840,46,37,101,1977,7360,2
840,46,39,101,1977,7360,18
840,46,40,101,1977,7360,5
840,46,41,101,1977,7360,9
840,46,42,101,1977,7360,8
840,46,43,101,1977,7360,12
840,46,45,101,1977,7360,4
840,46,46,101,1977,7360,5
840,46,47,101,1977,7360,6
840,46,48,101,1977,7360,14
840,46,49,101,1977,7360,13
840,46,150,101,1977,7360,10
840,46,6,101,1978,7360,2
840,46,7,101,1978,7360,7
840,46,8,101,1978,7360,4
840,46,10,101,1978,7360,14
840,46,12,101,1978,7360,9
840,46,14,101,1978,7360,2
840,46,15,101,1978,7360,1
840,46,16,101,1978,7360,2
840,46,17,101,1978,7360,2
840,46,18,101,1978,7360,2
840,46,20,101,1978,7360,1
840,46,21,101,1978,7360,2
840,46,22,101,1978,7360,1
840,46,23,101,1978,7360,17
840,46,24,101,1978,7360,6
840,46,26,101,1978,7360,4
840,46,27,101,1978,7360,13
840,46,28,101,1978,7360,11
840,46,29,101,1978,7360,23
840,46,30,101,1978,7360,6
840,46,32,101,1978,7360,1
840,46,33,101,1978,7360,2
840,46,35,101,1978,7360,9
840,46,36,101,1978,7360,7
840,46,37,101,1978,7360,2
840,46,38,101,1978,7360,2
840,46,39,101,1978,7360,10
840,46,40,101,1978,7360,5
840,46,41,101,1978,7360,6
840,46,42,101,1978,7360,7
840,46,43,101,1978,7360,7
840,46,44,101,1978,7360,24
840,46,45,101,1978,7360,12
840,46,46,101,1978,7360,6
840,46,47,101,1978,7360,3
840,46,48,101,1978,7360,12
840,46,49,101,1978,7360,7
840,46,150,101,1978,7360,12
840,46,6,101,1979,7360,8
840,46,7,101,1979,7360,2
840,46,8,101,1979,7360,4
840,46,10,101,1979,7360,15
840,46,11,101,1979,7360,2
840,46,12,101,1979,7360,12
840,46,13,101,1979,7360,2
840,46,14,101,1979,7360,2
840,46,15,101,1979,7360,1
840,46,17,101,1979,7360,3
840,46,18,101,1979,7360,9
840,46,19,101,1979,7360,3
840,46,20,101,1979,7360,2
840,46,21,101,1979,7360,2
840,46,22,101,1979,7360,6
840,46,23,101,1979,7360,9
840,46,24,101,1979,7360,8
840,46,25,101,1979,7360,2
840,46,26,101,1979,7360,6
840,46,27,101,1979,7360,15
840,46,28,101,1979,7360,5
840,46,29,101,1979,7360,8
840,46,30,101,1979,7360,8
840,46,31,101,1979,7360,16
840,46,32,101,1979,7360,5
840,46,33,101,1979,7360,3
840,46,34,101,1979,7360,1
840,46,35,101,1979,7360,3
840,46,36,101,1979,7360,1
840,46,37,101,1979,7360,6
840,46,38,101,1979,7360,2
840,46,41,101,1979,7360,4
840,46,42,101,1979,7360,5
840,46,43,101,1979,7360,24
840,46,44,101,1979,7360,6
840,46,45,101,1979,7360,9
840,46,46,101,1979,7360,3
840,46,47,101,1979,7360,1
840,46,48,101,1979,7360,19
840,46,150,101,1979,7360,13
840,46,6,101,1980,7360,4
840,46,7,101,1980,7360,10
840,46,8,101,1980,7360,7
840,46,10,101,1980,7360,31
840,46,11,101,1980,7360,3
840,46,12,101,1980,7360,17
840,46,13,101,1980,7360,1
840,46,14,101,1980,7360,3
840,46,15,101,1980,7360,1
840,46,16,101,1980,7360,1
840,46,17,101,1980,7360,8
840,46,18,101,1980,7360,6
840,46,19,101,1980,7360,3
840,46,20,101,1980,7360,4
840,46,21,101,1980,7360,10
840,46,22,101,1980,7360,3
840,46,23,101,1980,7360,8
840,46,24,101,1980,7360,10
840,46,26,101,1980,7360,7
840,46,27,101,1980,7360,25
840,46,28,101,1980,7360,5
840,46,29,101,1980,7360,20
840,46,30,101,1980,7360,7
840,46,31,101,1980,7360,15
840,46,32,101,1980,7360,8
840,46,33,101,1980,7360,8
840,46,35,101,1980,7360,21
840,46,36,101,1980,7360,8
840,46,37,101,1980,7360,1
840,46,38,101,1980,7360,4
840,46,39,101,1980,7360,12
840,46,40,101,1980,7360,9
840,46,41,101,1980,7360,7
840,46,42,101,1980,7360,23
840,46,43,101,1980,7360,15
840,46,44,101,1980,7360,19
840,46,45,101,1980,7360,6
840,46,46,101,1980,7360,12
840,46,47,101,1980,7360,7
840,46,48,101,1980,7360,23
840,46,149,101,1980,7360,35
840,46,150,101,1980,7360,28
840,46,6,101,1981,7360,3
840,46,7,101,1981,7360,5
840,46,8,101,1981,7360,6
840,46,9,101,1981,7360,3
840,46,10,101,1981,7360,29
840,46,11,101,1981,7360,6
840,46,12,101,1981,7360,14
840,46,13,101,1981,7360,1
840,46,14,101,1981,7360,4
840,46,15,101,1981,7360,4
840,46,16,101,1981,7360,4
840,46,19,101,1981,7360,1
840,46,21,101,1981,7360,7
840,46,22,101,1981,7360,6
840,46,23,101,1981,7360,31
840,46,24,101,1981,7360,16
840,46,26,101,1981,7360,14
840,46,27,101,1981,7360,36
840,46,28,101,1981,7360,11
840,46,29,101,1981,7360,8
840,46,30,101,1981,7360,7
840,46,32,101,1981,7360,1
840,46,33,101,1981,7360,5
840,46,35,101,1981,7360,9
840,46,36,101,1981,7360,23
840,46,37,101,1981,7360,15
840,46,38,101,1981,7360,2
840,46,39,101,1981,7360,19
840,46,41,101,1981,7360,8
840,46,42,101,1981,7360,16
840,46,43,101,1981,7360,27
840,46,44,101,1981,7360,24
840,46,45,101,1981,7360,1
840,46,46,101,1981,7360,12
840,46,47,101,1981,7360,3
840,46,48,101,1981,7360,31
840,46,149,101,1981,7360,31
840,46,150,101,1981,7360,18
840,46,6,101,1982,7360,7
840,46,7,101,1982,7360,1
840,46,9,101,1982,7360,1
840,46,10,101,1982,7360,33
840,46,11,101,1982,7360,11
840,46,12,101,1982,7360,5
840,46,14,101,1982,7360,1
840,46,15,101,1982,7360,5
840,46,16,101,1982,7360,1
840,46,17,101,1982,7360,8
840,46,18,101,1982,7360,9
840,46,19,101,1982,7360,2
840,46,20,101,1982,7360,1
840,46,22,101,1982,7360,2
840,46,24,101,1982,7360,14
840,46,25,101,1982,7360,5
840,46,26,101,1982,7360,11
840,46,28,101,1982,7360,4
840,46,29,101,1982,7360,9
840,46,30,101,1982,7360,7
840,46,31,101,1982,7360,18
840,46,32,101,1982,7360,10
840,46,33,101,1982,7360,5
840,46,34,101,1982,7360,1
840,46,35,101,1982,7360,17
840,46,36,101,1982,7360,12
840,46,37,101,1982,7360,16
840,46,38,101,1982,7360,16
840,46,39,101,1982,7360,21
840,46,40,101,1982,7360,4
840,46,41,101,1982,7360,6
840,46,42,101,1982,7360,11
840,46,43,101,1982,7360,15
840,46,44,101,1982,7360,17
840,46,45,101,1982,7360,13
840,46,46,101,1982,7360,6
840,46,47,101,1982,7360,16
840,46,48,101,1982,7360,28
840,46,121,101,1982,7360,24
840,46,123,101,1982,7360,29
840,46,149,101,1982,7360,29
840,46,150,101,1982,7360,22
840,46,6,101,1983,7360,2
840,46,7,101,1983,7360,9
840,46,8,101,1983,7360,13
840,46,9,101,1983,7360,2
840,46,10,101,1983,7360,21
840,46,11,101,1983,7360,11
840,46,14,101,1983,7360,4
840,46,15,101,1983,7360,6
840,46,16,101,1983,7360,6
840,46,17,101,1983,7360,4
840,46,18,101,1983,7360,4
840,46,19,101,1983,7360,2
840,46,20,101,1983,7360,5
840,46,22,101,1983,7360,3
840,46,24,101,1983,7360,10
840,46,25,101,1983,7360,6
840,46,26,101,1983,7360,10
840,46,28,101,1983,7360,3
840,46,29,101,1983,7360,10
840,46,30,101,1983,7360,7
840,46,31,101,1983,7360,18
840,46,32,101,1983,7360,8
840,46,33,101,1983,7360,5
840,46,35,101,1983,7360,16
840,46,36,101,1983,7360,25
840,46,37,101,1983,7360,2
840,46,39,101,1983,7360,22
840,46,40,101,1983,7360,10
840,46,41,101,1983,7360,5
840,46,42,101,1983,7360,15
840,46,43,101,1983,7360,13
840,46,45,101,1983,7360,15
840,46,46,101,1983,7360,12
840,46,121,101,1983,7360,21
840,46,123,101,1983,7360,17
840,46,150,101,1983,7360,22
840,46,8,101,1984,7360,7
840,46,9,101,1984,7360,1
840,46,10,101,1984,7360,9
840,46,11,101,1984,7360,2
840,46,13,101,1984,7360,1
840,46,14,101,1984,7360,5
840,46,15,101,1984,7360,5
840,46,16,101,1984,7360,1
840,46,17,101,1984,7360,2
840,46,18,101,1984,7360,7
840,46,20,101,1984,7360,3
840,46,22,101,1984,7360,1
840,46,24,101,1984,7360,2
840,46,26,101,1984,7360,3
840,46,27,101,1984,7360,12
840,46,28,101,1984,7360,1
840,46,29,101,1984,7360,10
840,46,30,101,1984,7360,10
840,46,31,101,1984,7360,13
840,46,32,101,1984,7360,8
840,46,33,101,1984,7360,4
840,46,34,101,1984,7360,7
840,46,35,101,1984,7360,8
840,46,36,101,1984,7360,19
840,46,37,101,1984,7360,14
840,46,39,101,1984,7360,4
840,46,40,101,1984,7360,11
840,46,41,101,1984,7360,3
840,46,42,101,1984,7360,12
840,46,43,101,1984,7360,6
840,46,45,101,1984,7360,4
840,46,46,101,1984,7360,3
840,46,48,101,1984,7360,2
840,46,123,101,1984,7360,15
840,46,149,101,1984,7360,9
840,46,150,101,1984,7360,11
840,46,7,101,1985,7360,9
840,46,8,101,1985,7360,2
840,46,10,101,1985,7360,11
840,46,11,101,1985,7360,6
840,46,12,101,1985,7360,28
840,46,14,101,1985,7360,3
840,46,15,101,1985,7360,4
840,46,16,101,1985,7360,2
840,46,17,101,1985,7360,4
840,46,18,101,1985,7360,4
840,46,20,101,1985,7360,6
840,46,22,101,1985,7360,1
840,46,24,101,1985,7360,9
840,46,25,101,1985,7360,2
840,46,26,101,1985,7360,10
840,46,27,101,1985,7360,17
840,46,28,101,1985,7360,2
840,46,29,101,1985,7360,10
840,46,30,101,1985,7360,8
840,46,31,101,1985,7360,5
840,46,33,101,1985,7360,6
840,46,34,101,1985,7360,9
840,46,35,101,1985,7360,7
840,46,36,101,1985,7360,7
840,46,37,101,1985,7360,15
840,46,39,101,1985,7360,15
840,46,40,101,1985,7360,4
840,46,41,101,1985,7360,9
840,46,43,101,1985,7360,30
840,46,44,101,1985,7360,10
840,46,45,101,1985,7360,13
840,46,46,101,1985,7360,3
840,46,47,101,1985,7360,2
840,46,48,101,1985,7360,16
840,46,123,101,1985,7360,7
840,46,149,101,1985,7360,19
840,46,150,101,1985,7360,16
840,46,7,101,1986,7360,4
840,46,8,101,1986,7360,4
840,46,10,101,1986,7360,34
840,46,11,101,1986,7360,2
840,46,14,101,1986,7360,4
840,46,15,101,1986,7360,4
840,46,17,101,1986,7360,3
840,46,18,101,1986,7360,4
840,46,19,101,1986,7360,4
840,46,20,101,1986,7360,3
840,46,22,101,1986,7360,5
840,46,24,101,1986,7360,2
840,46,25,101,1986,7360,6
840,46,26,101,1986,7360,11
840,46,27,101,1986,7360,3
840,46,28,101,1986,7360,1
840,46,29,101,1986,7360,8
840,46,30,101,1986,7360,7
840,46,31,101,1986,7360,19
840,46,32,101,1986,7360,1
840,46,33,101,1986,7360,4
840,46,35,101,1986,7360,5
840,46,36,101,1986,7360,3
840,46,37,101,1986,7360,9
840,46,38,101,1986,7360,1
840,46,39,101,1986,7360,6
840,46,40,101,1986,7360,6
840,46,41,101,1986,7360,3
840,46,42,101,1986,7360,8
840,46,43,101,1986,7360,13
840,46,44,101,1986,7360,15
840,46,45,101,1986,7360,4
840,46,46,101,1986,7360,1
840,46,48,101,1986,7360,15
840,46,112,101,1986,7360,4
840,46,121,101,1986,7360,8
840,46,123,101,1986,7360,10
840,46,149,101,1986,7360,10
840,46,150,101,1986,7360,19
840,46,6,101,1987,7360,1
840,46,7,101,1987,7360,3
840,46,8,101,1987,7360,2
840,46,9,101,1987,7360,2
840,46,10,101,1987,7360,8
840,46,11,101,1987,7360,5
840,46,14,101,1987,7360,1
840,46,15,101,1987,7360,1
840,46,17,101,1987,7360,6
840,46,18,101,1987,7360,7
840,46,19,101,1987,7360,1
840,46,20,101,1987,7360,1
840,46,22,101,1987,7360,3
840,46,24,101,1987,7360,10
840,46,26,101,1987,7360,9
840,46,27,101,1987,7360,16
840,46,28,101,1987,7360,1
840,46,29,101,1987,7360,9
840,46,30,101,1987,7360,2
840,46,31,101,1987,7360,17
840,46,32,101,1987,7360,7
840,46,33,101,1987,7360,2
840,46,34,101,1987,7360,11
840,46,35,101,1987,7360,17
840,46,36,101,1987,7360,10
840,46,37,101,1987,7360,10
840,46,39,101,1987,7360,14
840,46,40,101,1987,7360,5
840,46,41,101,1987,7360,14
840,46,42,101,1987,7360,17
840,46,43,101,1987,7360,23
840,46,44,101,1987,7360,16
840,46,45,101,1987,7360,15
840,46,46,101,1987,7360,5
840,46,47,101,1987,7360,2
840,46,48,101,1987,7360,12
840,46,112,101,1987,7360,5
840,46,121,101,1987,7360,14
840,46,123,101,1987,7360,21
840,46,149,101,1987,7360,11
840,46,150,101,1987,7360,14
840,46,6,101,1988,7360,2
840,46,8,101,1988,7360,3
840,46,9,101,1988,7360,8
840,46,10,101,1988,7360,36
840,46,11,101,1988,7360,8
840,46,13,101,1988,7360,3
840,46,14,101,1988,7360,6
840,46,15,101,1988,7360,6
840,46,16,101,1988,7360,1
840,46,17,101,1988,7360,5
840,46,18,101,1988,7360,7
840,46,19,101,1988,7360,2
840,46,20,101,1988,7360,7
840,46,24,101,1988,7360,14
840,46,25,101,1988,7360,1
840,46,26,101,1988,7360,8
840,46,27,101,1988,7360,4
840,46,28,101,1988,7360,4
840,46,29,101,1988,7360,10
840,46,30,101,1988,7360,15
840,46,31,101,1988,7360,11
840,46,32,101,1988,7360,3
840,46,33,101,1988,7360,3
840,46,34,101,1988,7360,4
840,46,35,101,1988,7360,8
840,46,36,101,1988,7360,5
840,46,37,101,1988,7360,5
840,46,39,101,1988,7360,13
840,46,40,101,1988,7360,11
840,46,41,101,1988,7360,4
840,46,42,101,1988,7360,10
